Name;Grade;DoB;
Colbert;Junior;17/02/1988;
Clayton;Medium;15/03/2017;
Clarke;Junior;05/02/1910;
Collins;Senior;04/05/1908;
Colt;Junior;02/05/1903;
Dale;Junior;18/09/1900;
Dalton;Junior;21/10/1912;
Elliot;Medium;03/07/1902;
Farmer;Senior;28/03/1906;
Falconer Merril;Senior;31/12/1903;
Forest;Senior;12/02/1913;
Nixon;Junior;21/02/1910;
Niles;Medium;11/08/1911;
Otis;Medium;20/10/1907;
Noel;Medium;18/09/1901;
Norman;Junior;02/11/1908;
Parrish;Senior;30/09/1910;
Perkins;Junior;15/01/1916;
Shelby;Junior;28/05/1910;
Siver;Senior;14/06/1905;
Smith;Senior;21/09/1917;
Spuner;Junior;25/08/1912;
Spencer;Medium;27/03/1909;
Grant;Medium;22/04/1910;
Gore;Medium;23/04/1913;
